Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATASTEEL,01-Dec-23,28-Dec-23,CE,100,28.6,28.6,28.6,28.6,28.6,30.5,1,7.07,1.57,66000,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,101,-,-,-,28.35,-,29.5,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,102,-,-,-,27.5,-,28.5,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,103,-,-,-,26.6,-,27.5,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,104,-,-,-,25.75,-,26.5,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,105,-,-,-,22.2,22.2,25.55,-,-,-,11000,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,106,-,-,-,24.1,-,24.55,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,107,-,-,-,23.25,-,23.55,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,108,-,-,-,22.45,-,22.55,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,109,-,-,-,21.65,-,21.55,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,110,18.7,18.7,18.7,18.7,18.7,20.6,3,21.24,3.09,407000,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,111,-,-,-,20.1,-,19.6,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,112,-,-,-,19.35,-,18.65,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,113,-,-,-,18.6,-,17.65,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,114,-,-,-,17.85,-,16.7,-,-,-,-,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,115,13.95,14.65,13.6,14.45,14.45,15.75,25,177.38,19.25,841500,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,116,-,-,-,11.75,11.75,14.8,-,-,-,49500,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,117,-,-,-,12,12,13.9,-,-,-,11000,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,118,-,-,-,9.25,9.25,13,-,-,-,33000,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,119,-,-,-,6.5,6.5,12.1,-,-,-,5500,-,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,120,9.8,11.6,9.35,11.15,11.1,11.15,141,1012.66,82.06,1826000,-5500,130
TATASTEEL,01-Dec-23,28-Dec-23,CE,121,-,-,-,7.75,7.75,10.35,-,-,-,33000,-,130
