Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,100.00,0.05,0.10,0.05,0.10,0.10,0.05,7.00,38.53,0.03,335500.00,27500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,101.00,-,-,-,0.20,0.20,0.05,-,-,-,16500.00,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,102.00,-,-,-,0.90,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,103.00,-,-,-,1.00,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,104.00,-,-,-,1.10,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,105.00,0.05,0.10,0.05,0.10,0.10,0.10,2.00,11.56,0.01,390500.00,5500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,106.00,-,-,-,1.40,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,107.00,-,-,-,1.55,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,108.00,-,-,-,1.75,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,109.00,-,-,-,1.90,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,110.00,0.10,0.15,0.10,0.15,0.15,0.15,117.00,708.62,0.77,1446500.00,104500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,111.00,0.15,0.15,0.15,0.15,0.15,0.05,3.00,18.34,0.02,44000.00,5500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,112.00,-,-,-,2.55,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,113.00,0.15,0.20,0.15,0.15,0.15,0.10,16.00,99.59,0.15,209000.00,-11000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,114.00,0.25,0.25,0.20,0.20,0.20,0.15,10.00,62.82,0.12,82500.00,11000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,115.00,0.25,0.25,0.15,0.20,0.20,0.20,337.00,2135.48,3.95,1941500.00,-247500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,116.00,0.25,0.25,0.20,0.20,0.20,0.25,49.00,313.20,0.58,159500.00,137500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,117.00,0.35,0.35,0.20,0.25,0.25,0.25,71.00,457.93,1.04,429000.00,225500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,118.00,0.45,0.45,0.25,0.25,0.30,0.25,122.00,794.16,2.38,1039500.00,253000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,119.00,0.60,0.60,0.30,0.35,0.35,0.35,325.00,2134.61,7.49,445500.00,280500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,120.00,0.60,0.75,0.40,0.45,0.45,0.45,1621.00,10745.97,47.37,6814500.00,1287000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,121.00,0.90,0.90,0.50,0.50,0.50,0.50,215.00,1438.29,7.47,726000.00,368500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,122.00,1.05,1.10,0.60,0.65,0.60,0.65,299.00,2019.37,13.08,1353000.00,231000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,123.00,1.35,1.35,0.75,0.80,0.80,0.80,352.00,2400.39,19.11,2029500.00,429000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,124.00,1.50,1.60,0.90,0.95,0.95,0.95,344.00,2366.41,20.33,962500.00,390500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,125.00,2.00,2.00,1.10,1.15,1.15,1.15,1479.00,10280.29,112.17,5786000.00,1166000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,126.00,2.25,2.25,1.35,1.45,1.40,1.45,608.00,4269.15,55.71,1144000.00,462000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,127.00,2.55,2.70,1.65,1.70,1.70,1.70,697.00,4945.97,77.43,1446500.00,357500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,128.00,3.00,3.25,2.00,2.05,2.10,2.05,878.00,6299.98,118.86,1567500.00,533500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,129.00,3.70,3.80,2.40,2.50,2.50,2.50,907.00,6580.84,145.68,1232000.00,561000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,130.00,3.85,4.35,2.80,2.95,2.95,2.95,1348.00,9887.69,249.49,3773000.00,1188000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,131.00,4.65,4.65,3.30,3.45,3.45,3.45,251.00,1857.95,49.49,627000.00,561000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,132.00,5.15,5.15,3.90,4.00,4.00,4.00,109.00,816.61,25.27,451000.00,247500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,133.00,5.30,5.40,4.45,4.60,4.60,4.60,23.00,174.33,6.09,93500.00,-5500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,134.00,6.40,6.45,5.20,5.25,5.25,5.25,38.00,291.59,11.53,121000.00,82500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,135.00,7.20,7.75,5.75,5.95,6.00,5.95,199.00,1548.93,71.35,3938000.00,390500.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,136.00,7.90,7.90,6.70,6.70,6.70,7.20,10.00,78.92,4.12,22000.00,22000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,137.00,8.75,8.75,7.40,7.50,7.50,7.50,18.00,143.43,7.80,22000.00,22000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,138.00,9.55,9.55,8.20,8.25,8.25,8.70,20.00,161.68,9.88,22000.00,22000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,139.00,10.20,10.20,9.00,9.10,9.15,9.10,16.00,130.75,8.43,33000.00,33000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,140.00,11.25,11.25,9.70,9.85,9.90,9.85,76.00,628.72,43.52,1606000.00,33000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,141.00,-,-,-,16.40,-,11.15,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,142.00,-,-,-,17.10,-,12.00,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,143.00,-,-,-,17.85,-,12.90,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,144.00,-,-,-,18.60,-,13.75,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,145.00,16.00,16.00,14.50,14.55,14.55,14.70,14.00,123.57,11.92,231000.00,-55000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,146.00,-,-,-,20.10,-,15.60,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,147.00,-,-,-,20.90,-,16.55,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,148.00,-,-,-,20.20,20.20,17.50,-,-,-,11000.00,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,149.00,19.70,19.75,18.00,18.05,18.05,18.45,14.00,128.99,14.26,115500.00,33000.00,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,97.00,-,-,-,0.45,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,98.00,-,-,-,0.55,-,0.05,-,-,-,-,-,130.00
TATASTEEL,01-Dec-2023,28-Dec-2023,PE,99.00,-,-,-,0.60,-,0.05,-,-,-,-,-,130.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,100.00,0.05,0.10,0.05,0.05,0.05,0.05,8.00,44.03,0.03,313500.00,-22000.00,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,101.00,-,-,-,0.20,0.20,0.05,-,-,-,16500.00,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,102.00,-,-,-,0.90,-,0.05,-,-,-,-,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,103.00,-,-,-,1.00,-,0.05,-,-,-,-,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,104.00,-,-,-,1.10,-,0.05,-,-,-,-,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,105.00,0.10,0.10,0.10,0.10,0.10,0.05,5.00,28.90,0.03,412500.00,22000.00,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,106.00,0.10,0.10,0.10,0.10,0.10,0.05,3.00,17.51,0.02,11000.00,11000.00,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,107.00,-,-,-,1.55,-,0.05,-,-,-,-,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,108.00,-,-,-,1.75,-,0.05,-,-,-,-,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,109.00,-,-,-,1.90,-,0.05,-,-,-,-,-,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,110.00,0.10,0.15,0.05,0.10,0.10,0.10,50.00,302.77,0.27,1430000.00,-16500.00,131.00
TATASTEEL,04-Dec-2023,28-Dec-2023,PE,111.00,0.10,0.10,0.10,0.10,0.10,0.05,3.00,18.33,0.02,38500.00,-5500.00,131.00
